Genus	mosaic	static	Total Plasmid Sequences	Fraction mosaic
Acetobacter	34.0	45.0	79.0	0.43037974683544306
Acidiphilium	10.0	7.0	17.0	0.5882352941176471
Acidithiobacillus	3.0	8.0	11.0	0.2727272727272727
Acinetobacter	110.0	68.0	178.0	0.6179775280898876
Actinobacillus	19.0	5.0	24.0	0.7916666666666666
Aeromonas	28.0	22.0	50.0	0.56
Agrobacterium	7.0	17.0	24.0	0.2916666666666667
Aliivibrio	1.0	13.0	14.0	0.07142857142857142
Anabaena	2.0	9.0	11.0	0.18181818181818182
Arthrobacter	9.0	22.0	31.0	0.2903225806451613
Azospirillum	17.0	11.0	28.0	0.6071428571428571
Bacillus	291.0	242.0	533.0	0.5459662288930581
Bacteroides	0.0	12.0	12.0	0.0
Bifidobacterium	4.0	30.0	34.0	0.11764705882352941
Borrelia	54.0	941.0	995.0	0.054271356783919596
Buchnera	0.0	28.0	28.0	0.0
Burkholderia	35.0	43.0	78.0	0.44871794871794873
Campylobacter	40.0	53.0	93.0	0.43010752688172044
Candidatus	3.0	22.0	25.0	0.12
Chlamydia	67.0	16.0	83.0	0.8072289156626506
Citrobacter	30.0	30.0	60.0	0.5
Clostridium	21.0	93.0	114.0	0.18421052631578946
Corynebacterium	11.0	63.0	74.0	0.14864864864864866
Coxiella	6.0	4.0	10.0	0.6
Cronobacter	12.0	10.0	22.0	0.5454545454545454
Cupriavidus	10.0	6.0	16.0	0.625
Cyanothece	11.0	15.0	26.0	0.4230769230769231
Deinococcus	11.0	11.0	22.0	0.5
Edwardsiella	12.0	4.0	16.0	0.75
Enterobacter	65.0	52.0	117.0	0.5555555555555556
Enterococcus	80.0	53.0	133.0	0.6015037593984962
Erwinia	5.0	44.0	49.0	0.10204081632653061
Escherichia	594.0	307.0	901.0	0.6592674805771365
Exiguobacterium	2.0	8.0	10.0	0.2
Francisella	10.0	11.0	21.0	0.47619047619047616
Fusobacterium	2.0	12.0	14.0	0.14285714285714285
Geminocystis	6.0	10.0	16.0	0.375
Geobacillus	2.0	13.0	15.0	0.13333333333333333
Gordonia	0.0	13.0	13.0	0.0
Haemophilus	17.0	5.0	22.0	0.7727272727272727
Haloarcula	2.0	14.0	16.0	0.125
Halobacterium	7.0	6.0	13.0	0.5384615384615384
Haloferax	6.0	10.0	16.0	0.375
Haloterrigena	0.0	10.0	10.0	0.0
Helicobacter	5.0	41.0	46.0	0.10869565217391304
Hymenobacter	0.0	12.0	12.0	0.0
Klebsiella	437.0	161.0	598.0	0.7307692307692307
Komagataeibacter	6.0	11.0	17.0	0.35294117647058826
Kozakia	5.0	6.0	11.0	0.45454545454545453
Lactobacillus	107.0	250.0	357.0	0.29971988795518206
Lactococcus	28.0	75.0	103.0	0.27184466019417475
Legionella	12.0	9.0	21.0	0.5714285714285714
Leptospira	0.0	12.0	12.0	0.0
Leuconostoc	1.0	45.0	46.0	0.021739130434782608
Listeria	20.0	3.0	23.0	0.8695652173913043
Marinovum	3.0	8.0	11.0	0.2727272727272727
Mesorhizobium	4.0	9.0	13.0	0.3076923076923077
Methylobacterium	18.0	20.0	38.0	0.47368421052631576
Moraxella	2.0	10.0	12.0	0.16666666666666666
Mycobacterium	14.0	24.0	38.0	0.3684210526315789
Mycoplasma	0.0	13.0	13.0	0.0
Neisseria	7.0	17.0	24.0	0.2916666666666667
Nostoc	7.0	9.0	16.0	0.4375
Novosphingobium	8.0	8.0	16.0	0.5
Onion	6.0	5.0	11.0	0.5454545454545454
Paenibacillus	0.0	20.0	20.0	0.0
Pandoraea	10.0	1.0	11.0	0.9090909090909091
Pantoea	14.0	18.0	32.0	0.4375
Paraburkholderia	3.0	11.0	14.0	0.21428571428571427
Paracoccus	6.0	20.0	26.0	0.23076923076923078
Pasteurella	15.0	11.0	26.0	0.5769230769230769
Pediococcus	18.0	31.0	49.0	0.3673469387755102
Persicobacter	9.0	7.0	16.0	0.5625
Phaeobacter	4.0	18.0	22.0	0.18181818181818182
Photobacterium	4.0	8.0	12.0	0.3333333333333333
Piscirickettsia	61.0	0.0	61.0	1.0
Planococcus	0.0	14.0	14.0	0.0
Plasmid	3.0	17.0	20.0	0.15
Polaromonas	4.0	6.0	10.0	0.4
Proteus	10.0	20.0	30.0	0.3333333333333333
Providencia	8.0	7.0	15.0	0.5333333333333333
Pseudomonas	60.0	71.0	131.0	0.4580152671755725
Pseudonocardia	9.0	6.0	15.0	0.6
Psychrobacter	2.0	32.0	34.0	0.058823529411764705
Rahnella	4.0	15.0	19.0	0.21052631578947367
Ralstonia	21.0	12.0	33.0	0.6363636363636364
Rhizobium	101.0	92.0	193.0	0.5233160621761658
Rhodobacter	14.0	15.0	29.0	0.4827586206896552
Rhodococcus	14.0	45.0	59.0	0.23728813559322035
Rickettsia	8.0	15.0	23.0	0.34782608695652173
Salmonella	239.0	125.0	364.0	0.6565934065934066
Selenomonas	0.0	18.0	18.0	0.0
Serratia	10.0	19.0	29.0	0.3448275862068966
Shewanella	10.0	12.0	22.0	0.45454545454545453
Shigella	42.0	27.0	69.0	0.6086956521739131
Shinella	10.0	2.0	12.0	0.8333333333333334
Sinorhizobium	46.0	20.0	66.0	0.696969696969697
Sodalis	0.0	10.0	10.0	0.0
Sphingobium	36.0	11.0	47.0	0.7659574468085106
Sphingomonas	15.0	11.0	26.0	0.5769230769230769
Sphingopyxis	12.0	2.0	14.0	0.8571428571428571
Spiroplasma	0.0	15.0	15.0	0.0
Staphylococcus	274.0	202.0	476.0	0.5756302521008403
Streptococcus	16.0	43.0	59.0	0.2711864406779661
Streptomyces	8.0	71.0	79.0	0.10126582278481013
Sulfolobus	0.0	20.0	20.0	0.0
Synechococcus	9.0	24.0	33.0	0.2727272727272727
Synechocystis	4.0	10.0	14.0	0.2857142857142857
Tetragenococcus	9.0	2.0	11.0	0.8181818181818182
Thermococcus	0.0	15.0	15.0	0.0
Thermus	6.0	18.0	24.0	0.25
Vibrio	19.0	68.0	87.0	0.21839080459770116
Weissella	1.0	13.0	14.0	0.07142857142857142
Xanthomonas	75.0	30.0	105.0	0.7142857142857143
Xuhuaishuia	2.0	9.0	11.0	0.18181818181818182
Xylella	0.0	14.0	14.0	0.0
Yersinia	137.0	21.0	158.0	0.8670886075949367
Zymomonas	18.0	25.0	43.0	0.4186046511627907
[Enterobacter]	5.0	6.0	11.0	0.45454545454545453
[Haemophilus]	6.0	5.0	11.0	0.5454545454545454
uncultured	14.0	25.0	39.0	0.358974358974359
